N,T,malla,n_pmc,m,m_err,e_enunciado,e_enunciado_err,e_por_spin,e_por_spin_err,c,c_err,chi,chi_err,binder,binder_err
16,1.5,grueso,1000000,0.986375,0.000186920166015625,-15.6058375,0.00579833984375,-1.9507296875,0.00072479248046875,0.2959666295833661,0.00453997837744366,0.027529833333327737,0.000783620033468603,0.6664500935461544,5.872113805628559e-06
16,1.6,grueso,1000000,0.97976953125,0.00016755108505862155,-15.4278625,0.0042587091477414565,-1.9284828125,0.0005323386434676821,0.42175998398434444,0.007257727414596699,0.04203896240234428,0.0009666722907037164,0.6663097921370946,7.81901890267205e-06
16,1.7,grueso,1000000,0.9700453125,0.00029504727029748475,-15.1848375,0.005481708024874037,-1.8981046875,0.0006852135031092546,0.6068362613970133,0.010168576949613164,0.07048630845586705,0.001110144468798788,0.6660234963821342,1.0143462292342237e-05
16,1.8,grueso,1000000,0.95627890625,0.00029223294067404974,-14.8640875,0.0068345446908532,-1.8580109375,0.00085431808635665,0.8177041218750168,0.01736425234750718,0.12074588810763645,0.00338373519052313,0.6654910746810632,3.0319365144521853e-05
16,1.9,grueso,1000000,0.938121875,0.0005817413330078125,-14.473775,0.011688232421875,-1.809221875,0.001461029052734375,1.077098156578969,0.019735718681461928,0.2002126960526371,0.006546436786637453,0.664587457035746,5.413319067197023e-05
16,2.0,grueso,3000000,0.9109994791666667,0.0005859879237737526,-13.960195833333334,0.006762360274932306,-1.7450244791666667,0.0008452950343665383,1.4619218816319517,0.011039293034996608,0.39075169579859903,0.008868935099645626,0.6624142675851745,6.584482513116054e-05
16,2.026086956521739,grueso,3000000,0.9030052083333333,0.000664564883158366,-13.815675,0.0112354986011798,-1.726959375,0.001404437325147475,1.5451465861766585,0.017104643433055493,0.4562990407427291,0.01098595798437426,0.6616998560746838,8.016898628728961e-05
16,2.0521739130434784,grueso,3000000,0.8915309895833333,0.0007691256407843365,-13.634,0.010689283636463973,-1.70425,0.0013361604545579966,1.7118944668078795,0.014175918804369494,0.6016743433884284,0.022001627552199594,0.6601633580575483,0.00013552774467302158
16,2.0782608695652174,grueso,3000000,0.8799973958333334,0.0005030257114142591,-13.4586,0.00885995921988209,-1.682325,0.0011074949024852613,1.8904400072524254,0.016204198774601955,0.752342990796437,0.014154719659209765,0.6584734870069817,8.886237580746389e-05
16,2.1043478260869564,grueso,3000000,0.86624375,0.0005633367083307198,-13.264304166666667,0.007974382923145805,-1.6580380208333334,0.0009967978653932256,2.0475367363305788,0.020038033782773076,1.0045165405303098,0.021271998042870617,0.6561231966313985,0.00016935856214474296
16,2.130434782608696,grueso,3000000,0.8487427083333333,0.0008692105907629964,-13.038983333333332,0.009882624755888778,-1.6298729166666666,0.0012353280944860973,2.2637829947165886,0.018556323965196433,1.3116302053458162,0.026150406605835886,0.6526078632102383,0.00019282996921790458
16,2.1565217391304348,grueso,3000000,0.8326520833333333,0.0007329023221058012,-12.826225,0.008491066132575767,-1.603278125,0.0010613832665719708,2.4493476702116665,0.022147242097689954,1.568723209464607,0.024361855634905616,0.6494661806114864,0.00021575104828797494
16,2.1826086956521737,grueso,3000000,0.8109276041666666,0.0010005714684858944,-12.582854166666667,0.008717458004712292,-1.5728567708333334,0.0010896822505890365,2.6807776751673873,0.025624570146121368,2.0602603055790736,0.05239469901875112,0.6438823222609589,0.00043069994825900375
16,2.208695652173913,grueso,3000000,0.78416640625,0.0009654921325595688,-12.299679166666667,0.010625421361421928,-1.5374598958333334,0.001328177670177741,2.965947722048561,0.025732321838340618,2.6465559742648876,0.04204976016820404,0.636141296877047,0.00039532776687738793
16,2.234782608695652,grueso,3000000,0.7562807291666667,0.0010636509816680025,-12.029016666666667,0.008829380332011316,-1.5036270833333334,0.0011036725415014144,3.17220025696061,0.02456717238990192,3.273076269910566,0.04319531340127983,0.6270811945470401,0.0004868172194087697
16,2.2608695652173916,grueso,3000000,0.7257557291666666,0.0011748618302516846,-11.72825,0.008490535237064376,-1.46603125,0.001061316904633047,3.313704469551315,0.024623141347489157,3.8310444094244147,0.04737472427320993,0.6165390525165979,0.0005471630851174511
16,2.2869565217391306,grueso,3000000,0.6895408854166667,0.0015860877821428738,-11.411675,0.010687946931156145,-1.426459375,0.0013359933663945182,3.4799684071450963,0.032386054044967125,4.537958327693607,0.05485352371445091,0.6016588169021795,0.0007963920294769504
16,2.3130434782608695,grueso,3000000,0.6491932291666667,0.0019547878667112166,-11.083125,0.011874013002196818,-1.385390625,0.0014842516252746023,3.634950452302579,0.02146990259980078,5.19778592415544,0.07792683583276587,0.5823322597914983,0.0013231256202609284
16,2.339130434782609,grueso,3000000,0.6082692708333334,0.0014915158712256605,-10.752879166666666,0.01501279094064559,-1.3441098958333333,0.0018765988675806988,3.6057942584895257,0.02509071090325552,5.645536556475881,0.05128120790111588,0.5612629659307558,0.0011522904277662866
16,2.365217391304348,grueso,3000000,0.5693091145833333,0.0017338902452865036,-10.45175,0.008723873641598252,-1.30646875,0.0010904842051997815,3.5418961688112485,0.027612061515187452,6.012624323744192,0.04035420270362413,0.5373784245310489,0.0014144146241750707
16,2.391304347826087,grueso,3000000,0.5294302083333333,0.0016068792804899985,-10.1395125,0.00923236910307088,-1.2674390625,0.00115404613788386,3.4410549373143797,0.025191849714018066,6.027113901732322,0.03254072811494061,0.5105610827234788,0.0013426095032491663
16,2.4173913043478263,grueso,3000000,0.49031796875,0.0020582682994988903,-9.847829166666667,0.014810571727161423,-1.2309786458333334,0.0018513214658951779,3.2371617092038742,0.021513634556136856,6.036298434707544,0.03257437152614675,0.4803571090951376,0.0017904934505547946
16,2.4434782608695653,grueso,3000000,0.45649661458333335,0.0015270497033053638,-9.570291666666666,0.00873429237007156,-1.1962864583333332,0.001091786546258945,3.0830090096134937,0.027550882835095127,5.8756447272245085,0.031205716010353993,0.4512149030147272,0.0015711324651000555
16,2.4695652173913043,grueso,3000000,0.424140625,0.0014553185343476915,-9.321995833333334,0.007911973939712642,-1.1652494791666668,0.0009889967424640802,2.8928851252652934,0.022268481070396546,5.588945798488851,0.027650237306219495,0.42014364919208247,0.0016061817171272323
16,2.4956521739130437,grueso,3000000,0.393546875,0.0016220500538019981,-9.0979375,0.007547307158470081,-1.1372421875,0.0009434133948087602,2.68941460320483,0.021152578150662477,5.262890294352494,0.03152969487571402,0.3880493001713221,0.0023639592254668168
16,2.5217391304347827,grueso,3000000,0.36695338541666667,0.001930129174274715,-8.8718875,0.009426276387885686,-1.1089859375,0.0011782845484857108,2.4800711635452664,0.020262274469323147,4.924134782500299,0.014486311591350803,0.35781813420142794,0.001976611250199744
16,2.5478260869565217,grueso,3000000,0.34428567708333335,0.001793885161851683,-8.669520833333333,0.007128033342379974,-1.0836901041666667,0.0008910041677974967,2.3872241631411075,0.020576938935366683,4.577653326244609,0.025726295652444876,0.32891093147992145,0.003407373314891322
16,2.573913043478261,grueso,3000000,0.32276484375,0.001725783610589285,-8.4814375,0.009708431770971018,-1.0601796875,0.0012135539713713772,2.180044374560104,0.0181721931437775,4.1587743092368745,0.025466590707431354,0.305289239634458,0.00313622283555642
16,2.6,grueso,3000000,0.3025421875,0.0013390809963256282,-8.300429166666667,0.00914210939614891,-1.0375536458333334,0.0011427636745186137,2.0937758384348206,0.01721703978856508,3.864909023477562,0.02919344362860356,0.27290922355976255,0.003219937902498684
16,2.7,grueso,1000000,0.2517375,0.0036411285400390625,-7.7428,0.015546322466106871,-0.96785,0.001943290308263359,1.7037750518518475,0.027449198424300856,2.8208815870370363,0.04431821412097124,0.20709573146260762,0.008515518359481226
16,2.8000000000000003,grueso,1000000,0.21941484375,0.0024862289428710938,-7.296725,0.026763916015625,-0.912090625,0.003345489501953125,1.4994703919642862,0.0302891194591027,2.17270344860491,0.031005799363805923,0.1602629714365209,0.008073694454865082
16,2.9,grueso,1000000,0.19066484375,0.001615064844054759,-6.8812625,0.03660583496093749,-0.8601578125,0.004575729370117187,1.3354566808189656,0.0348890882975091,1.7026432865840517,0.021583451990557712,0.09895724643903547,0.012395708829869742
16,3.0,grueso,1000000,0.17468984375,0.001351730942033397,-6.556925,0.01287841796875,-0.819615625,0.00160980224609375,1.2031668925000076,0.019282890327808354,1.381870228697917,0.02072954018719355,0.10714153355811995,0.011593043755578403
16,3.1,grueso,1000000,0.156065625,0.002454748304339735,-6.2284,0.010871036959327335,-0.77855,0.001358879619915917,1.1266036322580653,0.01686824467877465,1.1099054588709674,0.013720379757988989,0.05780441923770163,0.01179022960002675
16,3.2,grueso,1000000,0.14606640625,0.001300034674665431,-5.9478625,0.010228897641189533,-0.7434828125,0.0012786122051486916,1.0200298357421822,0.01561654425810885,0.9062899792480467,0.012494086511155427,0.076266262048444,0.013727150489197341
16,3.3,grueso,1000000,0.13999765625,0.001104748689448413,-5.715875,0.010619002719138905,-0.714484375,0.0013273753398923632,0.9729634659091021,0.013562045309565325,0.8300542230587121,0.012386851439487366,0.0527242571071278,0.012745069935526546
16,3.4,grueso,1000000,0.12971171875,0.0010328292846679688,-5.47915,0.008854782943025583,-0.68489375,0.001106847867878198,0.9223451794117712,0.014150595057247398,0.6825614448069852,0.00935694387616102,0.05655904510976728,0.015135613669905831
16,3.5,grueso,1000000,0.12352265625,0.0010116411287307671,-5.2814625,0.009780387395409972,-0.6601828125,0.0012225484244262465,0.8571561983928575,0.012531543748714903,0.6095336660267857,0.007314925797094055,0.05113336809117697,0.013260436101477825
32,1.5,grueso,1000000,0.9865625,8.106231689453125e-05,-31.22043125,0.0038528442382812496,-1.951276953125,0.0002408027648925781,0.2942174623955604,0.004444513395340467,0.02668697916669771,0.0004541061484849274,0.6666133663992815,9.009375066734353e-07
32,1.6,grueso,1000000,0.979583203125,8.860361769752292e-05,-30.8517375,0.004668790513492256,-1.92823359375,0.000291799407093266,0.41367057773470606,0.0027089249388617814,0.04262555771475718,0.0004513971809971073,0.6665746452731384,9.792930674208255e-07
32,1.7,grueso,1000000,0.9700654296875,0.00015109061472480466,-30.36708125,0.007310605840253652,-1.897942578125,0.00045691286501585324,0.5897798447612705,0.005126067234276367,0.06878193416823439,0.0009829892401854372,0.6665061397578895,2.229322204019438e-06
32,1.8,grueso,1000000,0.9569623046875,0.0001568929727920608,-29.7508875,0.006483529428185998,-1.85943046875,0.0004052205892616249,0.7977169996527461,0.011328545465764273,0.11470497810326682,0.0021039309287771294,0.6663766202227004,5.203106999966951e-06
32,1.9,grueso,1000000,0.938253125,0.00021475979042831812,-28.95205625,0.007282311033473453,-1.809503515625,0.0004551444395920908,1.0697356709706105,0.01674554054093289,0.19726133355262437,0.0043786971889753275,0.6661222324725168,1.1799799395515244e-05
32,2.0,grueso,3000000,0.9112181640625,0.00022383735815660225,-27.927827083333334,0.006625598327776072,-1.7454891927083334,0.0004140998954860045,1.4660454214495076,0.01460311269803272,0.3892729628450411,0.006544918076711715,0.665488860563289,1.8745296633836537e-05
